ep_idx,ep_stem,path_type,frame_t,frame_idx,has_bbox,gt_class,cx,cy,area,grounding_any_success,grounding_n_boxes,grounding_phrases,basket_grounding_success,basket_iou,basket_bbox_str,side_phrases,free_text,mentions_basket,mentions_gray,mentions_corridor,mentions_object,text_len
0,episode_260408_123008_target_center_straight_path__core__fixed_center,center_straight,1,1,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3858,"[(0.453125, 0.453125, 0.609375, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
0,episode_260408_123008_target_center_straight_path__core__fixed_center,center_straight,4,4,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.3774,"[(0.390625, 0.453125, 0.578125, 0.765625)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small grey air conditioner in a room with a window and a white wall",False,True,False,False,74
0,episode_260408_123008_target_center_straight_path__core__fixed_center,center_straight,8,8,True,FORWARD,0.75,0.5,0.05,True,2,gray basket|a cable,True,0.0,"[(0.328125, 0.453125, 0.578125, 0.890625)]",a cable,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a gray air purifier in a room with a white wall and a black electrical cord.",False,True,False,False,75
0,episode_260408_123008_target_center_straight_path__core__fixed_center,center_straight,9,9,True,FORWARD,0.5,0.3594,0.66602,True,2,gray basket|a white wall,True,0.1375,"[(0.265625, 0.453125, 0.578125, 0.921875)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can in a room with a white wall and a black floor.",False,True,False,False,74
0,episode_260408_123008_target_center_straight_path__core__fixed_center,center_straight,12,12,True,FORWARD,0.5,0.3906,0.72656,True,2,gray basket|a white wall,True,0.2437,"[(0.171875, 0.421875, 0.671875, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a grey trash can with a white wall in the background",False,True,False,False,70
1,episode_260408_124119_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a window,True,0.2594,"[(0.421875, 0.484375, 0.546875, 0.703125)]",a window,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a ventilation unit",False,False,False,False,68
1,episode_260408_124119_target_center_straight_path__core__fixed_center,center_straight,1,1,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a white wall,True,0.3858,"[(0.390625, 0.453125, 0.546875, 0.703125)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a room with a window and a ventilation unit",False,False,False,False,68
1,episode_260408_124119_target_center_straight_path__core__fixed_center,center_straight,7,7,True,FORWARD,0.25,0.5,0.05,True,2,gray basket|a power cord,True,0.0386,"[(0.328125, 0.453125, 0.578125, 0.828125)]",a power cord,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room",False,False,False,False,66
1,episode_260408_124119_target_center_straight_path__core__fixed_center,center_straight,9,9,True,FORWARD,0.5,0.5,0.05,True,2,gray basket|a cable,True,0.1453,"[(0.265625, 0.453125, 0.515625, 0.890625)]",a cable,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a small air conditioner in a room",False,False,False,False,66
1,episode_260408_124119_target_center_straight_path__core__fixed_center,center_straight,13,13,True,FORWARD,0.5,0.4062,0.75684,True,2,gray basket|a white wall,True,0.2386,"[(0.140625, 0.421875, 0.609375, 0.984375)]",a white wall,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a power outlet.",False,False,False,False,69
2,episode_260408_124918_target_center_straight_path__core__fixed_center,center_straight,0,0,True,FORWARD,0.5,0.3281,0.60547,True,3,gray basket|a window|white walls,True,0.0452,"[(0.453125, 0.484375, 0.578125, 0.703125)]",a window|white walls,"<image>. the, to and of as in I that' for is was- on’ it with The as at bet he have from by are "" you his “ this said not has an ( but had we her they will my or were their): up about out who one all been she can more would It</image> An image of a trash can in a room with a window",False,False,False,False,68
